id_tutoria;id_estudiante;id_semestre;tipo_autorizacion;num_res_autoriza
1.0;5200109.0;2.0;AM ;RD 138-D-FISI-19
2.0;5200109.0;2.0;AM ;RD 138-D-FISI-19
3.0;6200086.0;2.0;TO ;RD 125-D-FISI-19
4.0;7200092.0;2.0;TO ;RD 125-D-FISI-19
5.0;4200026.0;2.0;TO ;RD 125-D-FISI-19
6.0;4200026.0;2.0;TO ;RD 125-D-FISI-19
7.0;4200053.0;2.0;TO ;RD 125-D-FISI-19
8.0;4200053.0;2.0;TO ;RD 125-D-FISI-19
9.0;8200112.0;2.0;TO ;RD 125-D-FISI-19
10.0;8200112.0;2.0;TO ;RD 125-D-FISI-19
11.0;1113991.0;2.0;TO ;RD 125-D-FISI-19
12.0;1113991.0;2.0;TO ;RD 125-D-FISI-19
13.0;8200009.0;2.0;TO ;RD 125-D-FISI-19
14.0;2200002.0;2.0;TO ;RD 138-D-FISI-19
15.0;2200002.0;2.0;TO ;RD 138-D-FISI-19
16.0;110626.0;2.0;TO ;RD 125-D-FISI-19
17.0;8200061.0;2.0;TO ;RD 125-D-FISI-19
18.0;1114046.0;2.0;TO ;RD 125-D-FISI-19
19.0;4200152.0;2.0;TO ;RD 125-D-FISI-19
20.0;4200172.0;2.0;TO ;RD 125-D-FISI-19
21.0;4200172.0;2.0;TO ;RD 125-D-FISI-19
22.0;7200076.0;2.0;TO ;RD 125-D-FISI-19
23.0;7200063.0;2.0;TO ;RD 125-D-FISI-19
24.0;7200140.0;2.0;TO ;RD 125-D-FISI-19
25.0;7200140.0;2.0;TO ;RD 125-D-FISI-19
26.0;7200108.0;2.0;TO ;RD 125-D-FISI-19
27.0;7200108.0;2.0;TO ;RD 125-D-FISI-19
28.0;7200108.0;2.0;TO ;RD 125-D-FISI-19
29.0;5200003.0;2.0;TO ;RD 125-D-FISI-19
30.0;5200003.0;2.0;TO ;RD 125-D-FISI-19
31.0;5200003.0;2.0;TO ;RD 125-D-FISI-19
32.0;7200080.0;2.0;TO ;RD 125-D-FISI-19
33.0;4200115.0;2.0;TO ;RD 125-D-FISI-19
34.0;4200115.0;2.0;TO ;RD 125-D-FISI-19
35.0;4200115.0;2.0;TO ;RD 125-D-FISI-19
36.0;110574.0;2.0;TO ;RD 125-D-FISI-19
37.0;110574.0;2.0;TO ;RD 125-D-FISI-19
38.0;110574.0;2.0;TO ;RD 125-D-FISI-19
39.0;5200127.0;2.0;TO ;RD 125-D-FISI-19
40.0;5200127.0;2.0;TO ;RD 125-D-FISI-19
41.0;8200153.0;2.0;TO ;RD 125-D-FISI-19
42.0;7200060.0;2.0;TO ;RD 125-D-FISI-19
43.0;2200071.0;2.0;TO ;RD 125-D-FISI-19
44.0;115103.0;2.0;TO ;RD 125-D-FISI-19
45.0;2201005.0;2.0;TO ;RD 125-D-FISI-19
46.0;6200015.0;2.0;TO ;RD 125-D-FISI-19
47.0;6200015.0;2.0;TO ;RD 125-D-FISI-19
48.0;1113975.0;2.0;TO ;RD 125-D-FISI-19
49.0;1113975.0;2.0;TO ;RD 125-D-FISI-19
50.0;1114126.0;2.0;TO ;RD 125-D-FISI-19
51.0;1114126.0;2.0;TO ;RD 125-D-FISI-19
52.0;962909.0;2.0;TO ;RD 405-D-FISI-19
53.0;8200056.0;2.0;TO ;RD 138-D-FISI-19
54.0;5200057.0;2.0;TO ;RD 138-D-FISI-19
55.0;5200057.0;2.0;TO ;RD 138-D-FISI-19
56.0;6200118.0;2.0;TO ;RD 138-D-FISI-19
57.0;7200092.0;2.0;TO ;RD 164-D-FISI-19
58.0;5200179.0;2.0;TO ;RD 164-D-FISI-19
59.0;7200186.0;2.0;TO ;RD 164-D-FISI-19
60.0;5200117.0;2.0;TO ;RD 174-D-FISI-19
61.0;5200117.0;2.0;TO ;RD 174-D-FISI-19
62.0;8200048.0;2.0;TO ;RD 174-D-FISI-19
63.0;8200163.0;2.0;TO ;RD 174-D-FISI-19
64.0;8200073.0;2.0;AM ;RD 126-D-FISI-19
65.0;7200055.0;2.0;AM ;RD 126-D-FISI-19
66.0;7200055.0;2.0;AM ;RD 126-D-FISI-19
67.0;8200008.0;2.0;AM ;RD 126-D-FISI-19
68.0;7200031.0;2.0;AM ;RD 126-D-FISI-19
